trade_date,entry_time,exit_time,position_id,strategy,direction,expiry,legs,contracts,entry_spread,exit_spread,target,stop,exit_reason,pnl,duration_min,spx_entry,spx_exit
2026-03-11,15:08:43,15:23:50,POS_20260311_0001,STRAT_CREDIT_CALL,BEARISH,20260311,C6760S|C6785B,2,-6.95,-5.9,-2.09,-2.08,TARGET,210.0,15,6760.7,6757.77
2026-03-11,15:24:27,15:25:14,POS_20260311_0002,STRAT_CREDIT_CALL,BEARISH,20260311,C6760S|C6785B,2,-4.95,-7.5,-1.49,-1.49,STOP,-510.0,0,6758.35,6761.16
2026-03-11,15:25:43,15:35:06,POS_20260311_0003,STRAT_CREDIT_CALL,BEARISH,20260311,C6760S|C6785B,2,-7.3,-11.0,-2.19,-2.19,STOP,-740.0,9,6761.06,6768.88
